player,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors
Giorgian De Arrascaeta,MF,Uruguay,28-197,1994,1.2,3,1,2,1,0,0,4,0.0,4,1,0,1,2,5,1,0
Gleison Bremer,DF,Brazil,25-272,1997,1.2,1,1,1,0,0,0,1,0.0,1,1,0,1,1,2,6,0
Gonzalo Montiel,DF,Argentina,25-348,1997,1.0,2,1,1,1,0,1,1,100.0,0,1,0,1,1,3,1,0
Gonzalo Plata,MF,Ecuador,22-044,2000,3.0,3,2,2,1,0,2,8,25.0,6,3,0,3,2,5,0,0
Gonçalo Ramos,FW,Portugal,21-178,2001,1.7,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,2,0
Granit Xhaka,MF,Switzerland,30-079,1992,4.0,6,4,1,5,0,4,6,66.7,2,3,2,1,2,8,7,0
Gregor Kobel,GK,Switzerland,25-009,1997,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Grzegorz Krychowiak,MF,Poland,32-320,1990,3.7,9,4,2,5,2,1,7,14.3,6,5,3,2,5,14,4,0
Guido Rodríguez,MF,Argentina,28-247,1994,0.6,2,0,1,1,0,2,2,100.0,0,1,1,0,0,2,1,0
Guillermo Ochoa,GK,Mexico,37-155,1985,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Guillermo Varela,DF,Uruguay,29-266,1993,2.0,3,2,2,1,0,3,4,75.0,1,1,0,1,3,6,1,0
Haji Wright,FW,United States,24-263,1998,1.5,2,0,1,1,0,2,2,100.0,0,0,0,0,0,2,1,0
Hakim Ziyech,FW,Morocco,29-271,1993,6.1,10,7,4,5,1,4,11,36.4,7,9,0,9,7,17,4,1
Hannibal Mejbri,MF,Tunisia,19-328,2003,0.1,1,0,1,0,0,0,0,,0,0,0,0,1,2,0,0
Haris Seferović,FW,Switzerland,30-296,1992,0.8,0,0,0,0,0,0,0,,0,2,2,0,0,0,0,0
Harry Kane,FW,England,29-140,1993,4.5,2,1,1,1,0,1,1,100.0,0,2,1,1,0,2,5,0
Harry Maguire,DF,England,29-285,1993,4.8,7,3,4,3,0,1,2,50.0,1,4,3,1,4,11,18,0
Harry Souttar,DF,Australia,24-054,1998,4.0,4,0,3,1,0,2,3,66.7,1,7,4,3,6,10,22,0
Harry Wilson,MF,Wales,25-268,1997,1.8,4,2,1,3,0,1,1,100.0,0,1,0,1,1,5,3,0
Hassan Al Tambakti,DF,Saudi Arabia,23-309,1999,2.0,4,2,3,1,0,3,5,60.0,2,3,2,1,3,7,6,0
Hassan Al-Haydos,MF,Qatar,32-004,1990,2.3,4,1,2,2,0,2,8,25.0,6,0,0,0,2,6,1,0
Hattan Bahebri,MF,Saudi Arabia,30-152,1992,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Henry Martín,FW,Mexico,30-027,1992,1.6,1,1,1,0,0,1,2,50.0,1,2,0,2,2,3,1,0
Hernán Galíndez,GK,Ecuador,35-260,1987,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Hidemasa Morita,MF,Japan,27-219,1995,3.2,0,0,0,0,0,0,0,,0,9,2,7,3,3,4,0
Hiroki Ito,DF,Japan,23-217,1999,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Hiroki Sakai,MF,Japan,32-247,1990,1.3,5,4,3,1,1,2,4,50.0,2,2,2,0,1,6,8,0
Hirving Lozano,FW,Mexico,27-138,1995,2.8,7,2,1,5,1,3,4,75.0,1,4,0,4,0,7,1,0
Homam Ahmed,DF,Qatar,23-112,1999,2.9,2,2,2,0,0,1,3,33.3,2,0,0,0,2,4,1,0
Hong Chul,DF,Korea Republic,32-089,1990,0.5,0,0,0,0,0,0,0,,0,2,1,1,1,1,1,0
Hossein Hosseini,GK,IR Iran,30-168,1992,1.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Hossein Kanaanizadegan,DF,IR Iran,28-267,1994,0.5,0,0,0,0,0,0,2,0.0,2,1,1,0,1,1,2,0
Hugo Lloris,GK,France,35-354,1986,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Hwang Hee-chan,MF,Korea Republic,26-323,1996,1.3,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
Hwang In-beom,MF,Korea Republic,26-086,1996,3.7,4,3,0,3,1,3,6,50.0,3,1,0,1,3,7,2,0
Hwang Ui-jo,FW,Korea Republic,30-109,1992,1.2,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0
Héctor Herrera,MF,Mexico,32-240,1990,1.8,4,3,2,2,0,2,4,50.0,2,1,0,1,3,7,0,0
Héctor Moreno,DF,Mexico,34-332,1988,3.0,2,1,2,0,0,1,1,100.0,0,2,1,1,1,3,4,0
Ibrahima Konaté,DF,France,23-204,1999,3.2,15,6,11,4,0,5,5,100.0,0,4,1,3,7,22,15,0
Idrissa Gana Gueye,MF,Senegal,33-080,1989,3.0,2,1,1,1,0,0,1,0.0,1,3,0,3,5,7,3,0
Iliman Ndiaye,FW,Senegal,22-284,2000,1.5,0,0,0,0,0,0,2,0.0,2,2,0,2,1,1,0,0
Ismail Jakobs,DF,Senegal,23-120,1999,3.1,0,0,0,0,0,0,1,0.0,1,3,0,3,4,4,14,0
Ismail Mohamad,FW,Qatar,32-254,1990,1.9,,2,,,,,,,,,,,2,,,
Ismaila Sarr,FW,Senegal,24-293,1998,3.8,4,2,1,2,1,2,3,66.7,1,2,0,2,2,6,1,0
Ismaël Koné,MF,Canada,20-192,2002,1.2,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0
Issam Jebali,FW,Tunisia,30-355,1991,2.0,3,3,1,1,1,0,1,0.0,1,1,0,1,0,3,3,0
Ivan Ilić,MF,Serbia,21-273,2001,0.4,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Ivan Perišić,FW,Croatia,33-316,1989,6.4,5,3,3,2,0,3,5,60.0,2,9,1,8,6,11,6,0
Iñaki Williams,FW,Ghana,28-183,1994,3.0,4,2,0,1,3,1,2,50.0,1,3,0,3,0,4,2,0
Jack Grealish,FW,England,27-096,1995,1.0,3,1,2,1,0,0,0,,0,2,0,2,3,6,1,0
Jackson Irvine,MF,Australia,29-283,1993,3.9,4,2,1,3,0,2,4,50.0,2,7,0,7,3,7,8,0
Jackson Porozo,DF,Ecuador,22-133,2000,1.1,2,2,1,1,0,0,0,,0,1,0,1,3,5,4,0
Jakub Kamiński,MF,Poland,20-193,2002,2.6,6,1,3,3,0,3,4,75.0,1,4,1,3,0,6,2,0
Jakub Kiwior,DF,Poland,22-303,2000,3.9,2,1,2,0,0,1,1,100.0,0,4,2,2,4,6,15,2
Jamal Musiala,MF,Germany,19-292,2003,2.9,1,1,0,0,1,1,2,50.0,1,3,1,2,1,2,0,0
Jamie Maclaren,FW,Australia,29-139,1993,0.6,0,0,0,0,0,0,3,0.0,3,0,0,0,1,1,0,0
Jan Bednarek,DF,Poland,26-247,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jan Vertonghen,DF,Belgium,35-235,1987,3.0,0,0,0,0,0,0,1,0.0,1,2,2,0,5,5,12,0
Jason Cummings,FW,Australia,27-136,1995,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jawad El Yamiq,DF,Morocco,30-289,1992,2.7,4,2,4,0,0,2,2,100.0,0,5,5,0,4,8,16,0
Jean-Charles Castelletto,DF,Cameroon,27-323,1995,2.0,3,3,2,1,0,0,1,0.0,1,2,1,1,6,9,12,0
Jeong Woo-yeong,MF,Korea Republic,23-086,1999,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Jeremy Doku,MF,Belgium,20-202,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jeremy Sarmiento,MF,Ecuador,20-182,2002,0.9,2,1,0,1,1,0,1,0.0,1,0,0,0,1,3,0,0
Jerome Ngom Mbekeli,MF,Cameroon,24-076,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Jesper Lindstrøm,MF,Denmark,22-289,2000,2.2,1,1,0,1,0,1,3,33.3,2,4,0,4,1,2,1,0
Jesús Ferreira,FW,United States,21-356,2000,0.5,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Jesús Gallardo,DF,Mexico,28-122,1994,3.0,9,5,5,4,0,3,8,37.5,5,5,1,4,1,10,10,0
Jewison Bennette,MF,Costa Rica,18-183,2004,1.1,0,0,0,0,0,0,3,0.0,3,2,0,2,0,0,0,0
Jhegson Méndez,MF,Ecuador,25-233,1997,2.0,2,2,1,1,0,1,1,100.0,0,4,0,4,1,3,1,0
Joachim Andersen,DF,Denmark,26-198,1996,3.0,4,2,2,1,1,0,2,0.0,2,2,1,1,0,4,12,0
Joakim Mæhle,DF,Denmark,25-209,1997,2.8,9,5,4,3,2,5,7,71.4,2,7,3,4,2,11,6,0
Joe Allen,MF,Wales,32-276,1990,1.0,1,1,1,0,0,1,2,50.0,1,1,0,1,1,2,4,0
Joe Morrell,MF,Wales,25-346,1997,0.4,3,2,1,2,0,0,1,0.0,1,2,0,2,1,4,0,0
Joe Rodon,DF,Wales,25-054,1997,3.0,2,2,1,1,0,1,2,50.0,1,2,2,0,4,6,13,0
Joel Campbell,FW,Costa Rica,30-172,1992,3.0,9,5,2,5,2,1,2,50.0,1,3,0,3,0,9,4,0
Johan Venegas,FW,Costa Rica,34-018,1988,0.8,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
John Stones,DF,England,28-201,1994,4.8,2,2,2,0,0,2,2,100.0,0,3,3,0,1,3,8,0
Jonas Hofmann,FW,Germany,30-154,1992,0.3,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0
Jonathan David,FW,Canada,22-335,2000,2.1,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
Jonathan Osorio,MF,Canada,30-186,1992,1.3,2,1,0,1,1,2,4,50.0,2,0,0,0,1,3,1,0
Jordan Ayew,FW,Ghana,31-095,1991,1.5,3,3,1,2,0,0,1,0.0,1,0,0,0,1,4,1,0
Jordan Henderson,MF,England,32-181,1990,3.0,4,2,2,2,0,2,2,100.0,0,3,1,2,1,5,0,0
Jordan Morris,FW,United States,28-050,1994,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jordan Pickford,GK,England,28-283,1994,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Jordan Veretout,MF,France,29-289,1993,0.7,2,0,0,2,0,1,1,100.0,0,0,0,0,0,2,2,0
Jordi Alba,DF,Spain,33-269,1989,2.9,6,4,2,4,0,2,5,40.0,3,2,0,2,3,9,2,0
Jorge Eduardo Sánchez,DF,Mexico,25-005,1997,1.9,1,0,1,0,0,1,1,100.0,0,2,0,2,3,4,8,0
Josh Sargent,FW,United States,22-298,2000,1.7,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0
Joshua Kimmich,MF,Germany,27-310,1995,3.0,5,2,3,2,0,3,6,50.0,3,6,1,5,3,8,1,0
Josip Juranović,DF,Croatia,27-121,1995,6.7,12,8,9,3,0,8,8,100.0,0,5,3,2,3,15,15,0
José Cifuentes,MF,Ecuador,23-278,1999,0.7,2,2,1,1,0,0,2,0.0,2,1,0,1,0,2,1,0
José María Giménez,DF,Uruguay,27-329,1995,3.0,4,1,3,1,0,2,7,28.6,5,6,5,1,7,11,11,0
João Cancelo,DF,Portugal,28-202,1994,3.4,7,3,1,2,4,4,5,80.0,1,1,1,0,2,9,8,0
João Félix,FW,Portugal,23-035,1999,3.7,4,2,2,2,0,0,3,0.0,3,0,0,0,1,5,1,0
João Mário,FW,Portugal,29-330,1993,0.9,2,1,0,1,1,2,3,66.7,1,2,0,2,0,2,0,0
João Palhinha,MF,Portugal,27-159,1995,0.4,2,1,1,1,0,0,1,0.0,1,1,0,1,1,3,1,0
Joško Gvardiol,DF,Croatia,20-326,2002,6.7,9,6,5,4,0,5,8,62.5,3,7,4,3,8,17,33,0
Juan Foyth,DF,Argentina,24-337,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Juan Pablo Vargas,DF,Costa Rica,27-192,1995,1.0,4,3,4,0,0,3,3,100.0,0,0,0,0,2,6,10,0
Jude Bellingham,MF,England,19-169,2003,4.6,16,15,5,6,5,5,6,83.3,1,10,0,10,5,21,0,0
Jules Koundé,DF,France,24-033,1998,4.0,7,4,6,0,1,4,7,57.1,3,7,4,3,5,12,6,0
Julián Álvarez,FW,Argentina,22-318,2000,4.0,4,2,3,0,1,0,1,0.0,1,7,0,7,0,4,3,0
Jung Woo-young,MF,Korea Republic,33-001,1989,3.4,5,4,3,2,0,2,3,66.7,1,3,1,2,3,8,7,0
Junior Hoilett,FW,Canada,32-193,1990,1.8,8,4,1,2,5,3,4,75.0,1,0,0,0,1,9,0,0
Junya Ito,MF,Japan,29-281,1993,3.6,7,4,3,3,1,5,9,55.6,4,4,1,3,5,12,6,0
Jurriën Timber,DF,Netherlands,21-181,2001,4.3,12,6,5,7,0,6,6,100.0,0,1,0,1,10,22,13,0
Kai Havertz,FW,Germany,23-187,1999,1.1,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,0,0
Kalidou Koulibaly,DF,Senegal,31-178,1991,4.0,12,9,10,2,0,7,11,63.6,4,4,1,3,2,14,30,0
Kalvin Phillips,MF,England,27-013,1995,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Kamal Miller,DF,Canada,25-213,1997,3.0,6,4,5,1,0,2,3,66.7,1,1,1,0,4,10,11,1
Kamaldeen Sulemana,FW,Ghana,20-303,2002,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Kamil Glik,DF,Poland,34-315,1988,4.0,2,1,1,1,0,2,3,66.7,1,2,1,1,3,5,23,0
Kamil Grosicki,MF,Poland,34-190,1988,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Kaoru Mitoma,MF,Japan,25-209,1997,1.8,7,2,6,0,1,3,3,100.0,0,4,1,3,2,9,5,0
Karim Ansarifard,FW,IR Iran,32-256,1990,0.4,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
Karim Boudiaf,MF,Qatar,32-090,1990,2.1,2,1,0,2,0,2,5,40.0,3,0,0,0,0,2,3,0
Karl Toko Ekambi,FW,Cameroon,30-092,1992,1.8,1,1,0,1,0,0,1,0.0,1,1,0,1,2,3,0,0
Karol Świderski,FW,Poland,25-326,1997,0.5,4,1,1,1,2,2,3,66.7,1,0,0,0,2,6,0,0
Kasper Dolberg,FW,Denmark,25-070,1997,1.3,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0
Kasper Schmeichel,GK,Denmark,36-040,1986,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Keanu Baccus,MF,Australia,24-191,1998,1.3,1,1,1,0,0,0,2,0.0,2,5,0,5,2,3,1,0
Kellyn Acosta,MF,United States,27-144,1995,0.5,3,2,3,0,0,2,2,100.0,0,0,0,0,0,3,0,0
Kendall Waston,DF,Costa Rica,34-348,1988,2.5,7,4,6,1,0,3,4,75.0,1,2,1,1,5,12,14,0
Kenneth Taylor,MF,Netherlands,20-213,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Kevin De Bruyne,FW,Belgium,31-170,1991,3.0,1,1,1,0,0,0,2,0.0,2,2,0,2,0,1,3,0
Kevin Rodríguez,FW,Ecuador,22-286,2000,0.0,,0,,,,,,,,,,,0,,,
Kevin Álvarez,DF,Mexico,23-334,1999,0.8,1,0,1,0,0,1,1,100.0,0,2,0,2,1,2,2,0
Keylor Navas,GK,Costa Rica,36-000,1986,3.0,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,2,1
Keysher Fuller,DF,Costa Rica,28-157,1994,2.8,4,4,3,1,0,3,7,42.9,4,2,0,2,3,7,9,0
Kieffer Moore,FW,Wales,30-129,1992,2.5,1,0,1,0,0,0,0,,0,3,1,2,2,3,7,0
Kieran Trippier,DF,England,32-087,1990,2.3,6,4,4,2,0,5,6,83.3,1,3,1,2,1,7,4,0
Kim Jin-su,DF,Korea Republic,30-185,1992,3.5,10,5,6,2,2,5,6,83.3,1,2,0,2,3,13,5,0
Kim Min-jae,DF,Korea Republic,26-030,1996,3.0,2,1,2,0,0,1,1,100.0,0,5,1,4,2,4,8,0
Kim Moonhwan,DF,Korea Republic,27-136,1995,4.0,9,4,6,2,1,5,6,83.3,1,3,1,2,4,13,16,0
Kim Seung-gyu,GK,Korea Republic,32-076,1990,4.0,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0
Kim Young-gwon,DF,Korea Republic,32-291,1990,3.9,3,2,3,0,0,1,2,50.0,1,3,2,1,3,6,11,0
Kingsley Coman,FW,France,26-185,1996,1.3,0,0,0,0,0,0,0,,0,1,0,1,2,2,1,0
Ko Itakura,DF,Japan,25-322,1997,3.0,9,5,4,4,1,3,4,75.0,1,1,0,1,4,13,16,0
Koke,MF,Spain,30-341,1992,0.6,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
Krystian Bielik,MF,Poland,24-345,1998,2.4,5,3,1,3,1,2,4,50.0,2,1,0,1,5,10,6,0
Krzysztof Piątek,FW,Poland,27-167,1995,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Krépin Diatta,FW,Senegal,23-293,1999,2.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Kudus Mohammed,FW,Ghana,22-135,2000,2.7,5,4,3,0,2,1,2,50.0,1,4,0,4,1,6,0,0
Kwon Chang-hoon,FW,Korea Republic,28-168,1994,0.6,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
Kwon Kyung-won,DF,Korea Republic,30-318,1992,1.0,0,0,0,0,0,0,0,,0,1,1,0,2,2,5,0
Kye Rowles,DF,Australia,24-174,1998,4.0,8,2,5,3,0,4,7,57.1,3,9,7,2,7,15,16,1
Kyle Walker,DF,England,32-201,1990,2.6,3,1,2,1,0,3,5,60.0,2,2,0,2,3,6,3,0
Kylian Mbappé,FW,France,23-360,1998,5.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Lautaro Martínez,FW,Argentina,25-115,1997,2.5,0,0,0,0,0,0,0,,0,1,1,0,1,1,0,0
Lawrence Ati-Zigi,GK,Ghana,26-016,1996,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Leander Dendoncker,DF,Belgium,27-244,1995,1.8,6,3,4,2,0,4,4,100.0,0,4,3,1,0,6,5,0
Leandro Paredes,MF,Argentina,28-169,1994,2.3,9,3,4,5,0,2,2,100.0,0,0,0,0,3,12,4,0
Leandro Trossard,FW,Belgium,28-011,1994,1.1,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0
Lee Jae-sung,MF,Korea Republic,30-127,1992,2.3,5,2,1,2,2,1,8,12.5,7,3,0,3,3,8,2,0
Lee Kangin,MF,Korea Republic,21-299,2001,1.6,4,3,1,2,1,2,5,40.0,3,0,0,0,0,4,0,0
Leon Goretzka,MF,Germany,27-312,1995,1.8,5,3,2,3,0,2,2,100.0,0,1,0,1,1,6,0,0
Leroy Sané,FW,Germany,26-338,1996,1.2,1,1,1,0,0,0,4,0.0,4,2,0,2,0,1,1,0
Liam Millar,DF,Canada,23-079,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Lionel Messi,FW,Argentina,35-174,1987,6.3,3,2,0,2,1,0,2,0.0,2,1,0,1,0,3,0,0
Lisandro Martínez,DF,Argentina,24-331,1998,3.4,6,2,4,2,0,2,2,100.0,0,3,1,2,3,9,14,0
Lovro Majer,MF,Croatia,24-332,1998,0.7,2,1,1,1,0,1,2,50.0,1,0,0,0,0,2,1,0
Loïs Openda,FW,Belgium,22-302,2000,0.1,1,0,0,1,0,0,0,,0,1,0,1,0,1,0,0
Lucas Cavallini,FW,Canada,29-352,1992,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Lucas Hernández,DF,France,26-304,1996,0.1,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0
Lucas Paquetá,MF,Brazil,25-110,1997,3.5,7,5,5,1,1,2,5,40.0,3,5,1,4,2,9,4,0
Luis Chávez,MF,Mexico,26-334,1996,3.0,1,0,0,1,0,1,4,25.0,3,6,0,6,1,2,3,0
Luis Suárez,FW,Uruguay,35-325,1987,1.6,1,0,0,0,1,0,3,0.0,3,0,0,0,0,1,2,0
Luka Jović,FW,Serbia,24-357,1997,0.4,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
Luka Modrić,MF,Croatia,37-097,1985,6.3,14,9,2,11,1,6,11,54.5,5,4,2,2,8,22,2,0
Lukas Klostermann,DF,Germany,26-195,1996,0.7,3,1,0,3,0,2,3,66.7,1,0,0,0,0,3,1,0
Luke Shaw,DF,England,27-156,1995,4.7,3,1,1,0,2,1,2,50.0,1,2,0,2,4,7,5,0
Luuk de Jong,FW,Netherlands,32-110,1990,0.6,2,1,0,2,0,0,0,,0,0,0,0,0,2,1,0
Majid Hosseini,DF,IR Iran,26-178,1996,3.0,7,4,6,1,0,6,9,66.7,3,3,2,1,6,13,11,0
Manuel Akanji,DF,Switzerland,27-149,1995,4.0,4,2,2,0,2,3,4,75.0,1,4,3,1,3,7,12,0
Manuel Neuer,GK,Germany,36-263,1986,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2
Marcelo Brozović,MF,Croatia,30-029,1992,6.1,13,7,8,2,3,3,10,30.0,7,13,7,6,4,17,7,0
Marco Asensio,FW,Spain,26-328,1996,2.5,1,1,0,0,1,0,0,,0,1,0,1,0,1,0,0
Marcos Acuña,DF,Argentina,31-048,1991,3.5,10,6,9,1,0,6,6,100.0,0,6,1,5,2,12,8,0
Marcos Llorente,DF,Spain,27-319,1995,1.3,0,0,0,0,0,0,4,0.0,4,0,0,0,0,0,0,0
Marcus Rashford,FW,England,25-045,1997,1.6,1,0,0,0,1,1,2,50.0,1,2,0,2,1,2,1,0
Marcus Thuram,FW,France,25-131,1997,0.8,2,2,1,0,1,0,0,,0,2,1,1,0,2,0,0
Mario Götze,MF,Germany,30-195,1992,0.4,1,0,1,0,0,1,1,100.0,0,2,0,2,0,1,0,0
Mario Pašalić,FW,Croatia,27-309,1995,2.7,6,4,2,3,1,3,7,42.9,4,5,2,3,3,9,3,0
Mark-Anthony Kaye,MF,Canada,28-013,1994,0.7,2,1,1,1,0,2,3,66.7,1,0,0,0,0,2,0,0
Marko Grujić,MF,Serbia,26-246,1996,0.1,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,1,0
Marko Livaja,FW,Croatia,29-111,1993,2.0,2,2,0,1,1,1,3,33.3,2,1,0,1,1,3,1,0
Marquinhos,DF,Brazil,28-215,1994,4.7,5,4,3,2,0,4,5,80.0,1,6,1,5,2,7,6,0
Marten de Roon,MF,Netherlands,31-261,1991,2.0,7,5,3,3,1,1,5,20.0,4,4,0,4,2,9,6,0
Martin Braithwaite,FW,Denmark,31-193,1991,1.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Martin Hongla,MF,Cameroon,24-274,1998,1.3,0,0,0,0,0,0,0,,0,2,1,1,2,2,3,0
Martinelli,FW,Brazil,21-180,2001,1.3,2,1,1,1,0,1,2,50.0,1,2,0,2,0,2,1,0
Martín Cáceres,DF,Uruguay,35-252,1987,1.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,2,0
Mason Mount,MF,England,23-339,1999,2.1,2,2,1,0,1,0,0,,0,2,0,2,0,2,0,0
Mateo Kovačić,MF,Croatia,28-223,1994,6.1,18,14,7,9,2,3,10,30.0,7,4,1,3,4,22,4,0
Matheus Nunes,MF,Portugal,24-110,1998,0.8,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Mathew Leckie,MF,Australia,31-314,1991,3.7,4,4,1,3,0,2,5,40.0,3,5,0,5,1,5,6,0
Mathew Ryan,GK,Australia,30-251,1992,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,1
Mathias Jensen,MF,Denmark,26-348,1996,0.9,1,0,0,1,0,1,1,100.0,0,2,0,2,0,1,0,0
Mathías Olivera,DF,Uruguay,25-045,1997,2.8,9,5,7,2,0,4,7,57.1,3,9,0,9,2,11,10,0
Matt Turner,GK,United States,28-174,1994,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Matthias Ginter,DF,Germany,28-330,1994,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Matthijs de Ligt,DF,Netherlands,23-125,1999,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
Matty Cash,DF,Poland,25-130,1997,4.0,4,3,3,1,0,3,6,50.0,3,7,2,5,0,4,17,0
Mattéo Guendouzi,FW,France,23-245,1999,0.9,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0
Matías Vecino,MF,Uruguay,31-113,1991,2.2,4,3,1,2,1,1,3,33.3,2,6,2,4,4,8,1,0
Matías Viña,DF,Uruguay,25-036,1997,0.2,4,3,4,0,0,2,2,100.0,0,0,0,0,0,4,0,0
Maxi Gómez,FW,Uruguay,26-123,1996,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Maya Yoshida,DF,Japan,34-113,1988,4.3,4,4,0,4,0,1,1,100.0,0,6,3,3,3,7,24,0
Mehdi Taremi,FW,IR Iran,30-150,1992,3.0,4,3,2,2,0,2,5,40.0,3,5,1,4,2,6,3,0
Mehdi Torabi,MF,IR Iran,28-096,1994,0.7,1,0,1,0,0,1,3,33.3,2,1,0,1,2,3,0,0
Memphis,FW,Netherlands,28-305,1994,3.3,1,1,0,1,0,1,2,50.0,1,4,0,4,1,2,0,1
Meshaal Barsham,GK,Qatar,24-304,1998,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1
Michael Estrada,FW,Ecuador,26-252,1996,2.5,1,0,0,1,0,0,1,0.0,1,4,1,3,0,1,0,0
Michał Skóraś,MF,Poland,22-303,2000,0.5,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
Michel Aebischer,MF,Switzerland,25-343,1997,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Michy Batshuayi,FW,Belgium,29-074,1993,1.7,1,0,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0
Miki Yamane,DF,Japan,28-358,1993,0.7,1,0,0,1,0,0,0,,0,2,0,2,2,3,0,0
Mikkel Damsgaard,MF,Denmark,22-165,2000,1.7,4,2,2,2,0,0,4,0.0,4,2,0,2,2,6,1,0
Milad Mohammadi,DF,IR Iran,29-077,1993,2.2,10,3,7,3,0,3,4,75.0,1,2,0,2,1,11,6,0
Milan Borjan,GK,Canada,35-053,1987,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1
Miloš Degenek,DF,Australia,28-231,1994,2.0,6,4,6,0,0,5,6,83.3,1,2,1,1,1,7,9,0
Miloš Veljković,DF,Serbia,27-080,1995,2.5,4,1,4,0,0,2,2,100.0,0,2,2,0,0,4,7,0
Mislav Oršić,FW,Croatia,29-351,1992,0.8,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Mitchell Duke,FW,Australia,31-331,1991,3.0,0,0,0,0,0,0,0,,0,5,0,5,2,2,1,0
Mohamed Ali Ben Romdhane,MF,Tunisia,23-100,1999,0.8,5,4,1,4,0,3,3,100.0,0,1,0,1,0,5,0,0
